cycle_idx,q_global,r_global,q_rel,r_rel,qrs_onset_current,qrs_onset_estimated,q_r_distance_ms,qrs_onset_r_distance_ms,qrs_onset_estimated_r_distance_ms,qrs_onset_is_q_peak,qrs_onset_is_r_peak
1,1743.0,1768,435.0,460,435,428,100.0,100.0,128.0,True,False
2,2352.0,2381,787.0,816,787,780,116.0,116.0,144.0,True,False
3,,5615,,3695,3695,3683,,0.0,48.0,False,True
4,5579.0,5615,424.0,460,424,417,144.0,144.0,172.0,True,False
5,6780.0,6805,1318.0,1343,1318,1311,100.0,100.0,128.0,True,False
6,7322.0,7346,694.0,718,694,687,96.0,96.0,124.0,True,False
7,7839.0,7867,953.0,981,953,946,112.0,112.0,140.0,True,False
8,8196.0,8218,439.0,461,439,432,88.0,88.0,116.0,True,False
9,8523.0,8548,435.0,460,435,428,100.0,100.0,128.0,True,False
10,9508.0,9534,1096.0,1122,1096,1089,104.0,104.0,132.0,True,False
11,,9850,,1093,1093,1081,,0.0,48.0,False,True
12,,9850,,776,776,764,,0.0,48.0,False,True
13,,10443,,1054,1054,1042,,0.0,48.0,False,True
14,10416.0,10443,717.0,744,717,710,108.0,108.0,136.0,True,False
15,15704.0,15733,5721.0,5750,5721,5714,116.0,116.0,144.0,True,False
16,16630.0,16652,1656.0,1678,1656,1649,88.0,88.0,116.0,True,False
17,16622.0,16652,731.0,761,731,724,120.0,120.0,148.0,True,False
18,16622.0,16652,431.0,461,431,424,120.0,120.0,148.0,True,False
19,17523.0,17548,1019.0,1044,1019,1012,100.0,100.0,128.0,True,False
20,21184.0,21213,4385.0,4414,4385,4378,116.0,116.0,144.0,True,False
21,21184.0,21213,431.0,460,431,424,116.0,116.0,144.0,True,False
22,22093.0,22120,1027.0,1054,1027,1020,108.0,108.0,136.0,True,False
23,22401.0,22434,1026.0,1059,1026,1019,132.0,132.0,160.0,True,False
24,22401.0,22434,741.0,774,741,734,132.0,132.0,160.0,True,False
25,22941.0,22973,968.0,1000,968,961,128.0,128.0,156.0,True,False
26,23703.0,23729,1451.0,1477,1451,1444,104.0,104.0,132.0,True,False
27,,23729,,713,713,701,,0.0,48.0,False,True
28,23703.0,23729,435.0,461,435,428,104.0,104.0,132.0,True,False
29,24704.0,24729,1189.0,1214,1189,1182,100.0,100.0,128.0,True,False
30,26689.0,26715,2420.0,2446,2420,2413,104.0,104.0,132.0,True,False
31,26689.0,26715,434.0,460,434,427,104.0,104.0,132.0,True,False
32,27655.0,27682,1054.0,1081,1054,1047,108.0,108.0,136.0,True,False
33,27655.0,27682,746.0,773,746,739,108.0,108.0,136.0,True,False
34,28573.0,28603,1352.0,1382,1352,1345,120.0,120.0,148.0,True,False
35,29214.0,29241,1072.0,1099,1072,1065,108.0,108.0,136.0,True,False
36,29533.0,29557,437.0,461,437,430,96.0,96.0,124.0,True,False
37,30483.0,30515,1054.0,1086,1054,1047,128.0,128.0,156.0,True,False
38,31126.0,31153,731.0,758,731,724,108.0,108.0,136.0,True,False
39,32377.0,32405,1685.0,1713,1685,1678,112.0,112.0,140.0,True,False
40,32377.0,32405,744.0,772,744,737,112.0,112.0,140.0,True,False
41,32927.0,32953,983.0,1009,983,976,104.0,104.0,132.0,True,False
42,33169.0,33202,929.0,962,929,922,132.0,132.0,160.0,True,False
43,35321.0,35346,2829.0,2854,2829,2822,100.0,100.0,128.0,True,False
44,35630.0,35664,427.0,461,427,420,136.0,136.0,164.0,True,False
45,36280.0,36304,744.0,768,744,737,96.0,96.0,124.0,True,False
46,,36611,,767,767,755,,0.0,48.0,False,True
47,37188.0,37217,1038.0,1067,1038,1031,116.0,116.0,144.0,True,False
48,37188.0,37217,721.0,750,721,714,116.0,116.0,144.0,True,False
49,38132.0,38156,1375.0,1399,1375,1368,96.0,96.0,124.0,True,False
50,41602.0,41627,3906.0,3931,3906,3899,100.0,100.0,128.0,True,False
51,,42003,,460,460,448,,0.0,48.0,False,True
52,43303.0,43328,1419.0,1444,1419,1412,100.0,100.0,128.0,True,False
53,48139.0,48168,5271.0,5300,5271,5264,116.0,116.0,144.0,True,False
54,48139.0,48168,747.0,776,747,740,116.0,116.0,144.0,True,False
55,48139.0,48168,432.0,461,432,425,116.0,116.0,144.0,True,False
56,48739.0,48771,716.0,748,716,709,128.0,128.0,156.0,True,False
57,49324.0,49357,1013.0,1046,1013,1006,132.0,132.0,160.0,True,False
58,49625.0,49653,1009.0,1037,1009,1002,112.0,112.0,140.0,True,False
59,50516.0,50547,1619.0,1650,1619,1612,124.0,124.0,152.0,True,False
60,51066.0,51093,979.0,1006,979,972,108.0,108.0,136.0,True,False
61,51308.0,51339,927.0,958,927,920,124.0,124.0,152.0,True,False
